,GSE57577,GSE77003
4930539J05RIK,0.17845394185910277,0.3277253787053471
4930548H24RIK,0.11305913079373786,1.1372117164995692
4930550L24RIK,-3.7503612883635418,-0.560714954474479
4930556M19RIK,-0.0016890243441402518,-0.07892310520765783
4930558J18RIK,0.1998607556237173,-0.3025410231984913
4930565N06RIK,0.13403107469354855,-0.3865044140072603
4930577N17RIK,0.2074549803403297,0.08138011180937443
4930579G18RIK,0.07106914888762605,0.32204806453866297
4930579G24RIK,-0.20337337470807526,-0.37481744001810435
4930591A17RIK,0.9914537694369221,0.8579809951275721
4930599N23RIK,0.22152452063865224,-0.3900805036113786
4931406C07RIK,0.704888059840648,0.4163955207726704
4931406P16RIK,-0.16665161932542905,0.09060337428401155
4931414P19RIK,0.22311785047781885,0.5862362631178955
4931428F04RIK,0.3782521925135518,0.007850858777403324
4931440J10RIK,0.0,0.2777422299920098
4931440P22RIK,0.20029646185144012,0.34912489162510707
4932438A13RIK,-0.28759221900184606,-0.36270479109318554
4932702P03RIK,-0.03314235979949612,-0.05082425907768284
4933402E13RIK,-0.6199276899250845,-0.5769979500698228
4933404O12RIK,0.584622760369867,-0.2808147463051194
4933405L10RIK,0.07905557855237677,-0.39589287700258746
4933406J08RIK,-0.3663412684492098,0.13658455803345126
4933408J17RIK,-0.22179065579515533,0.3922963037296707
4933416M07RIK,0.06301518230454128,-0.3416402469161972
4933426M11RIK,-0.18817169005924184,-0.15606604170592053
4933427D06RIK,0.13687413238363266,-0.7990683108726437
4933427D14RIK,0.30382491124655964,-0.22945341079004633
4933428G20RIK,0.16232480775158425,0.18264284427846267
4933431E20RIK,-0.346549088625431,-0.47741884265220136
4933434E20RIK,-0.2029653753576035,0.4120351660352557
4933439C10RIK,0.2936304479840479,0.19425510741208862
5031425E22RIK,0.126141945291396,-0.017498211715186285
5031439G07RIK,0.6709747551434475,-0.13974124115850017
5133400J02RIK,0.4840989697850482,0.348905161168406
5330411J11RIK,0.10046850240294147,-0.555862814776092
5330426P16RIK,-0.420984151201348,-0.2350400707138438
5430405H02RIK,-0.06451030536100966,-0.1597052097685907
5430416N02RIK,0.15560334638939022,0.5012200959415947
5430435G22RIK,-0.009284458484220687,0.13780224930041512
5530601H04RIK,-0.08028567323343028,0.3227799963239193
5730405O15RIK,-0.10275169296418463,-0.21917619482778927
5730408K05RIK,-0.2818483771136666,-0.1611214128627818
5730409E04RIK,0.300846295985156,-0.08549093811263675
5730455P16RIK,0.23962040737285095,-0.35723425256491215
5730507C01RIK,0.15106611311497176,-0.18728427728034136
5730508B09RIK,0.12424967917784746,-0.2674501947998784
5730559C18RIK,0.22835593363942897,0.41401319251720814
5830415F09RIK,-0.23017712120765887,0.14861420539781633
5830417I10RIK,0.19666294208126,-0.11017487141963445
5830418K08RIK,-0.2439151487811655,0.07685887734694363
5830454E08RIK,0.4357952764011517,-0.05584308352351697
6030419C18RIK,-0.6351387687148671,0.6124754436540154
6030458C11RIK,-0.2252966611616376,-0.04598805628807945
6230400D17RIK,0.278774027552274,0.4152659002990138
6330403K07RIK,-0.1498994945899643,-0.557061623858293
6330408A02RIK,0.04762908811515132,0.21884989029709168
6330416G13RIK,0.909651272425168,-0.22528519879730546
6330418K02RIK,0.2748229898691831,0.18647480185085763
6430531B16RIK,0.4941592513695603,-0.47146978805839623
6430562O15RIK,0.2474205052690266,0.06748284483279887
6720489N17RIK,0.1726761577190561,0.23274516029513403
6820431F20RIK,-0.13408559876103965,-0.3675941400728533
8030462N17RIK,-0.10083290676951417,0.03265175979688717
8430419L09RIK,0.5288333916989447,-1.4041754924149186
8430429K09RIK,0.48078059004543894,0.3678497169977366
9030617O03RIK,-0.2929370311472641,-0.6183486692157032
9030624G23RIK,0.16864567227144933,0.01470221674968708
9030624J02RIK,0.4955698830932822,0.4815192987975805
9130008F23RIK,-0.039831928600363886,0.6136847901624465
