hypothesis,delta_curated,delta_metaPCNA,mean_delta,both_anchors_support,auroc_hypothesis,q_value,robust_verdict,unique_r2,redundancy,prop_mediated,collinearity_label
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0,0.0,0.0,False,0.522,0.5814,REFUTED,0.0008,-3.653,3.163,INERT
HALLMARK_SPERMATOGENESIS,0.0,0.0,0.0,False,0.638,0.5814,EXPLAINED_BY_TEXTBOOK,0.0031,0.946,1.266,REDUNDANT
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0,0.0,0.0,False,0.72,0.5814,EXPLAINED_BY_TEXTBOOK,0.0012,0.991,0.885,REDUNDANT
HALLMARK_MYC_TARGETS_V1,0.0,0.0,0.0,False,0.802,0.5814,EXPLAINED_BY_TEXTBOOK,0.0106,0.955,0.706,NOVEL
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0,0.0,0.0,False,0.562,0.5814,REFUTED,0.0003,0.972,1.17,INERT
HALLMARK_MITOTIC_SPINDLE,0.0,0.0,0.0,False,0.639,0.5814,EXPLAINED_BY_TEXTBOOK,0.0053,0.88,1.39,NOVEL
HALLMARK_G2M_CHECKPOINT,0.0,0.0,0.0,False,0.894,0.5814,EXPLAINED_BY_TEXTBOOK,0.0131,0.963,0.443,NOVEL
HALLMARK_ANDROGEN_RESPONSE,0.0,0.0,0.0,False,0.596,0.5814,REFUTED,0.0166,0.279,0.15,NOVEL
HALLMARK_BILE_ACID_METABOLISM,0.0,0.0,0.0,False,0.697,0.5814,EXPLAINED_BY_TEXTBOOK,0.0058,0.935,0.724,NOVEL
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0,0.0,0.0,False,0.53,0.5814,REFUTED,0.0036,-1.716,2.67,INERT
HALLMARK_DNA_REPAIR,0.0,0.0,0.0,False,0.736,0.5814,EXPLAINED_BY_TEXTBOOK,0.0,1.0,0.993,REDUNDANT
HALLMARK_E2F_TARGETS,0.0,0.0,0.0,False,0.914,0.5814,EXPLAINED_BY_TEXTBOOK,0.0622,0.849,-0.254,NOVEL
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0,0.0,0.0,False,0.52,0.5814,REFUTED,0.0017,-1.43,2.569,INERT
HALLMARK_FATTY_ACID_METABOLISM,0.0,0.0,0.0,False,0.561,0.5814,REFUTED,0.0015,0.896,1.335,REDUNDANT
HALLMARK_GLYCOLYSIS,0.0,0.0,0.0,False,0.572,0.5814,REFUTED,0.0116,0.053,2.041,NOVEL
HALLMARK_HEME_METABOLISM,0.0,0.0,0.0,False,0.66,0.5814,EXPLAINED_BY_TEXTBOOK,0.0006,0.99,0.893,REDUNDANT
HALLMARK_ALLOGRAFT_REJECTION,0.0,0.0,0.0,False,0.55,0.5814,REFUTED,0.0073,-0.104,-0.051,NOVEL
HALLMARK_ANGIOGENESIS,-0.0016,-0.0012,-0.0014,False,0.719,1.0,EXPLAINED_BY_TEXTBOOK,0.0361,0.674,0.41,NOVEL
HALLMARK_INFLAMMATORY_RESPONSE,-0.0042,0.0,-0.0021,False,0.604,1.0,EXPLAINED_BY_TEXTBOOK,0.0138,0.529,0.311,NOVEL
HALLMARK_COMPLEMENT,-0.0048,0.0,-0.0024,False,0.611,1.0,EXPLAINED_BY_TEXTBOOK,0.0153,0.53,0.311,NOVEL
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.005,0.0,-0.0025,False,0.607,1.0,EXPLAINED_BY_TEXTBOOK,0.0108,0.648,0.402,NOVEL
HALLMARK_IL2_STAT5_SIGNALING,-0.0033,-0.0038,-0.0036,False,0.643,1.0,EXPLAINED_BY_TEXTBOOK,0.0239,0.532,0.311,NOVEL
HALLMARK_UV_RESPONSE_UP,-0.0051,-0.0048,-0.005,False,0.535,1.0,REFUTED,0.013,-2.153,2.856,NOVEL
HALLMARK_XENOBIOTIC_METABOLISM,-0.0051,-0.0053,-0.0052,False,0.653,1.0,EXPLAINED_BY_TEXTBOOK,0.0184,0.685,0.429,NOVEL
